species	total.indi
H_0782_Diptera_Diptera	3
H_0783_Hemiptera_Tuberculatus	2
H_0787_Hymenoptera_Dolichoderus	1
H_0789_Diptera_Diptera	1
H_0790_Hemiptera_Geocoris	1
H_0791_Lepidoptera_Lepidoptera	1
H_0792_Diptera_Diptera	1
H_0793_Diptera_Chironomidae	9
H_0794_Diptera_Cecidomyiidae	1
H_0795_Diptera_Cecidomyiidae	1
H_0796_Diptera_Cecidomyiidae	1
H_0797_Diptera_Cecidomyiidae	2
H_0798_Hymenoptera_Exallonyx	1
H_0799_Hemiptera_Aphididae	22
H_0800_Diptera_Diptera	1
H_0801_Lepidoptera_Lepidoptera	1
H_0802_Hemiptera_Aphididae	6
H_0803_Diptera_Cecidomyiidae	1
H_0804_Hemiptera_Limassolla	1
H_0805_Diptera_Sciaridae	2
H_0806_Hemiptera_Bemisia.tabaci	2
H_0807_Lepidoptera_Mythimna.separata	1
H_0808_Diptera_Cecidomyiidae	1
H_0810_Diptera_Culicoides	2
H_0811_Hymenoptera_Formica	3
H_0812_Thysanoptera_Phlaeothripidae	1
H_0813_Hemiptera_Issidae	1
H_0814_Diptera_Diptera	2
H_0815_Lepidoptera_Lepidoptera	1
H_0817_Diptera_Phoridae	1
H_0818_Hymenoptera_Hymenoptera	1
H_0819_Hymenoptera_Ceraphron	1
H_0820_Hemiptera_Coreidae	14
H_0821_Hymenoptera_Ceraphronidae	2
H_0822_Diptera_Cecidomyiidae	1
H_0823_Hymenoptera_Formicidae	1
H_0824_Hymenoptera_Hymenoptera	1
H_0825_Diptera_Diptera	1
H_0826_Hemiptera_Aphididae	2
H_0828_Diptera_Diptera	1
H_0829_Diptera_Rhopalomyia	1
H_0830_Hymenoptera_Eulophidae	1
H_0831_Hemiptera_Coreidae	1
H_0832_Hymenoptera_Hymenoptera	1
H_0833_Diptera_Homoneura	1
H_0834_Diptera_Cecidomyiidae	3
H_0835_Coleoptera_Coleoptera	1
H_0836_Diptera_Culicidae	2
H_0838_Diptera_Diptera	1
H_0839_Diptera_Cecidomyiidae	1
H_0840_Orthoptera_Polionemobius	2
H_0841_Hemiptera_Bemisia	2
H_0842_Diptera_Diptera	2
H_0843_Diptera_Sciaridae	1
H_0844_Hymenoptera_Formica	2
H_0845_Collembola_Homidia	1
H_0846_Diptera_Cecidomyiidae	1
H_0847_Diptera_Diptera	1
H_0849_Diptera_Diptera	1
H_0850_Hemiptera_Aphididae	1
H_0852_Hemiptera_Aphididae	1
H_0853_Hemiptera_Chaitophorus	1
H_0855_Diptera_Diptera	1
H_0856_Diptera_Cecidomyiidae	2
H_0857_Diptera_Diptera	2
H_0858_Diptera_Sciaridae	1
H_0859_Diptera_Cecidomyiidae	1
H_0861_Diptera_Cecidomyiidae	4
H_0862_Hymenoptera_Ceraphronidae	1
H_0864_Diptera_Diptera	1
H_0865_Coleoptera_Coleoptera	1
H_0866_Diptera_Chrysotus	1
H_0867_Diptera_Cecidomyiidae	1
H_0869_Diptera_Limoniidae	1
H_0870_Lepidoptera_Lepidoptera	1
H_0871_Diptera_Cecidomyiidae	1
H_0872_Diptera_Diptera	2
H_0873_Diptera_Diptera	3
H_0874_Hemiptera_Hemiptera	2
H_0875_Diptera_Diptera	1
H_0876_Diptera_Diptera	1
H_0878_Hymenoptera_Formica	3
H_0879_Hemiptera_Delphacidae	1
H_0880_Hymenoptera_Eulophidae	1
H_0881_Hymenoptera_Hymenoptera	1
H_0882_Hymenoptera_Ichneumonidae	1
H_0883_Diptera_Diptera	1
H_0884_Diptera_Cecidomyiidae	1
H_0885_Diptera_Diptera	1
H_0886_Diptera_Diptera	1
H_0888_Orthoptera_Gryllidae	1
H_0889_Hymenoptera_Hymenoptera	1
H_0890_Lepidoptera_Lepidoptera	2
H_0893_Diptera_Cecidomyiidae	3
H_0894_Orthoptera_Acrida	1
H_0895_Lepidoptera_Lepidoptera	2
H_0896_Hymenoptera_Formicidae	1
H_0897_Hemiptera_Hemiptera	1
H_0898_Hemiptera_Aphididae	1
H_0899_Diptera_Cecidomyiidae	1
H_0900_Psocoptera_Peripsocidae	1
H_0903_Diptera_Rhamphomyia	1
H_0904_Hymenoptera_Braconidae	1
H_0905_Diptera_Drosophilidae	1
H_0906_Coleoptera_Chrysolina.aurichalcea	2
H_0907_Hymenoptera_Hymenoptera	2
H_0908_Lepidoptera_Ctenoplusia	3
H_0909_Collembola_Homidia	1
H_0910_Lepidoptera_Lepidoptera	1
H_0911_Diptera_Diptera	1
H_0912_Hymenoptera_Ichneumonidae	1
H_0913_Diptera_Lestodiplosis	1
H_0914_Hymenoptera_Formicidae	1
H_0915_Hemiptera_Hemiptera	1
H_0916_Orthoptera_Acrida	1
H_0917_Diptera_Cecidomyiidae	1
H_0918_Hymenoptera_Ichneumonidae	1
H_0919_Diptera_Phoridae	1
H_0920_Hemiptera_Laodelphax.striatellus	3
H_0921_Diptera_Cecidomyiidae	1
H_0922_Orthoptera_Dianemobius	3
H_0923_Diptera_Tipulidae	1
H_0924_Coleoptera_Chrysomelidae	1
H_0925_Collembola_Homidia	2
H_0926_Hymenoptera_Formicidae	1
H_0927_Diptera_Cecidomyiidae	1
H_0928_Orthoptera_Gryllidae	1
H_0929_Coleoptera_Chrysomelidae	1
H_0930_Hymenoptera_Hymenoptera	1
H_0932_Diptera_Cecidomyiidae	1
H_0934_Diptera_Cecidomyiidae	1
H_0935_Orthoptera_Acrididae	4
H_0936_Hemiptera_Corythucha.marmorata	3
H_0937_Diptera_Cecidomyiidae	1
H_0939_Hemiptera_Hemiptera	1
H_0940_Diptera_Cecidomyiidae	1
H_0941_Hymenoptera_Formica	4
H_0942_Diptera_Sciaridae	2
H_0943_Diptera_Sphaeroceridae	1
H_0944_Diptera_Empididae	1
H_0945_Diptera_Cecidomyiidae	1
H_0946_Diptera_Mycetophilidae	1
H_0947_Diptera_Cecidomyiidae	2
H_0948_Diptera_Cecidomyiidae	1
H_0949_Diptera_Cecidomyiidae	1
H_0950_Orthoptera_Trigonidium	2
H_0951_Diptera_Dolichopodidae	1
H_0952_Diptera_Phoridae	1
H_0954_Hymenoptera_Ceraphron	1
H_0955_Hemiptera_Europiella	1
H_0956_Diptera_Diptera	1
H_0957_Diptera_Sciaridae	3
H_0958_Collembola_Hypogastruridae	1
H_0959_Diptera_Cecidomyiidae	1
H_0960_Hemiptera_Aphididae	147
H_0962_Diptera_Diptera	3
H_0964_Diptera_Diptera	1
H_0967_Diptera_Cecidomyiidae	1
H_0968_Hemiptera_Cicadellidae	1
H_0969_Hemiptera_Hemiptera	1
H_0970_Diptera_Cecidomyiidae	1
H_0971_Hymenoptera_Hymenoptera	1
H_0972_Hemiptera_Hemiptera	1
H_0973_Hemiptera_Cicadellidae	1
H_0974_Diptera_Diptera	1
H_0975_Diptera_Diptera	1
H_0977_Orthoptera_Velarifictorus.ornatus	3
H_0978_Diptera_Cecidomyiidae	1
H_0979_Diptera_Sciaridae	1
H_0980_Diptera_Dolichopus	1
H_0982_Diptera_Diptera	1
H_0983_Diptera_Cecidomyiidae	1
H_0984_Hymenoptera_Ceraphronidae	1
H_0985_Hemiptera_Cicadellidae	1
H_0986_Diptera_Chironomidae	2
H_0987_Diptera_Cecidomyiidae	1
H_0989_Orthoptera_Oedaleus	1
H_0990_Hymenoptera_Formica	1
H_0991_Hymenoptera_Ceraphron	1
H_0992_Diptera_Cecidomyiidae	1
H_0993_Hemiptera_Hemiptera	1
H_0995_Lepidoptera_Spodoptera	2
H_0996_Hymenoptera_Ceraphronidae	1
H_0997_Lepidoptera_Helicoverpa	1
H_0998_Diptera_Sciara	1
H_1000_Diptera_Limoniidae	1
H_1001_Diptera_Mycetophilidae	1
H_1002_Hemiptera_Aphididae	2
H_1004_Diptera_Diptera	1
H_1005_Lepidoptera_Crambidae	1
H_1007_Diptera_Cecidomyiidae	1
H_1009_Coleoptera_Cantharidae	1
H_1010_Diptera_Diptera	1
H_1011_Diptera_Diptera	1
H_1012_Coleoptera_Coleoptera	1
H_1013_Hymenoptera_Braconidae	1
H_1015_Diptera_Diptera	1
H_1016_Hemiptera_Kolla	1
H_1017_Coleoptera_Coleoptera	1
H_1018_Hymenoptera_Formica	5
H_1020_Coleoptera_Coleoptera	1
H_1022_Hymenoptera_Ceraphronidae	1
H_1023_Diptera_Cecidomyiidae	1
H_1024_Hymenoptera_Ichneumonidae	1
H_1025_Hymenoptera_Formica	1
H_1026_Diptera_Sciaridae	1
H_1027_Hymenoptera_Hymenoptera	1
H_1028_Hemiptera_Hemiptera	1
H_1031_Lepidoptera_Lepidoptera	1
H_1032_Diptera_Chironomidae	2
H_1034_Hymenoptera_Pteromalidae	1
H_1035_Coleoptera_Coleoptera	1
H_1036_Hymenoptera_Ichneumonidae	1
H_1038_Lepidoptera_Pseudozizeeria.maha	1
H_1039_Orthoptera_Loxoblemmus	1
H_1040_Diptera_Sciaridae	3
H_1041_Diptera_Chrysotus	1
H_1042_Lepidoptera_Lepidoptera	1
H_1043_Lepidoptera_Noctuidae	2
H_1044_Diptera_Diptera	1
H_1046_Lepidoptera_Vanessa.cardui	1
H_1049_Diptera_Cecidomyiidae	1
H_1052_Diptera_Cecidomyiidae	1
H_1053_Coleoptera_Coleoptera	1
H_1054_Diptera_Phoridae	1
H_1056_Hymenoptera_Ceraphronidae	1
H_1057_Lepidoptera_Lepidoptera	1
H_1058_Hemiptera_Hemiptera	1
H_1059_Diptera_Bradysia	1
H_1060_Diptera_Sphaeroceridae	1
H_1061_Diptera_Cecidomyiidae	2
H_1064_Diptera_Corynoptera	1
H_1065_Diptera_Sciaridae	1
H_1066_Hemiptera_Aphididae	1
H_1067_Hemiptera_Sphedanolestes	1
H_1072_Orthoptera_Tettigoniidae	1
H_1073_Lepidoptera_Geometridae	1
H_1080_Hymenoptera_Formica.cunicularia	4
H_1081_Coleoptera_Chrysomelidae	1
H_1082_Collembola_Homidia	1
H_1084_Hymenoptera_Formica	3
H_1085_Coleoptera_Cortinicara	1
H_1088_Diptera_Diptera	1
H_1090_Lepidoptera_Lepidoptera	1
H_1093_Diptera_Corynoptera	1
H_1096_Hymenoptera_Formicidae	1
H_1097_Hymenoptera_Formica	4
H_1099_Hemiptera_Cicadellidae	1
H_1100_Hymenoptera_Formica	1
H_1102_Lepidoptera_Lycaenidae	1
H_1105_Hymenoptera_Aphelinus	1
H_1109_Diptera_Cecidomyiidae	1
H_1110_Coleoptera_Chrysomelidae	1
H_1114_Lepidoptera_Noctuidae	1
H_1119_Hymenoptera_Formica	1
H_1124_Diptera_Diptera	1
H_1130_Diptera_Cecidomyiidae	2
H_1132_Orthoptera_Trigonidium	1
H_1133_Lepidoptera_Lepidoptera	1
H_1137_Lepidoptera_Lepidoptera	1
H_1142_Hymenoptera_Formica	1
H_1146_Hymenoptera_Formica	3
H_1151_Hemiptera_Hemiptera	1
H_1153_Diptera_Sciaridae	1
H_1155_Lepidoptera_Lepidoptera	1
H_1161_Hymenoptera_Diapriidae	3
H_1163_Diptera_Cecidomyiidae	1
H_1164_Hymenoptera_Formica	2
H_1167_Hymenoptera_Formica	1
H_1173_Hymenoptera_Formica	2
H_1178_Diptera_Diptera	1
H_1185_Coleoptera_Coleoptera	1
H_1194_Orthoptera_Conocephalus.maculatus	19
H_1196_Hemiptera_Acyrthosiphon.pisum	42
H_1198_Hemiptera_Aphis	2
H_1202_Hemiptera_Aphididae	1
H_1204_Diptera_Megaselia	2
H_1205_Hemiptera_Aphididae	8
H_1208_Diptera_Cecidomyiidae	2
H_1213_Diptera_Sciaridae	1
H_1214_Neuroptera_Neuroptera	2
H_1219_Diptera_Forcipomyia	1
H_1220_Hemiptera_Cicadellidae	1
H_1221_Coleoptera_Anoplophora.glabripennis	1
H_1222_Hemiptera_Aphididae	2
H_1223_Hymenoptera_Nylanderia	1
