Oxyopes_sertatus	Tetragnatha_praedonia	Tetragnatha_caudicula	Ebrechtella_tricuspidata	Nephila_clavata	Neoscona_mellotteei	Clubiona_sp.	Diaea_subdola	Xysticus_sp.	Larinia_argiopiformis	Hypsosinga_pygmaea	Mendoza_elongata	Pardosa_sp.	Dolomedes_sp.	Thomisus_labefactus	Sitticus_sp.	Salticidae_sp.1
H_0982_Diptera_Diptera	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
H_0995_Lepidoptera_Spodoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1001_Diptera_Mycetophilidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1010_Diptera_Diptera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1011_Diptera_Diptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1013_Hymenoptera_Braconidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1032_Diptera_Chironomidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1038_Lepidoptera_Pseudozizeeria.maha	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_1040_Diptera_Sciaridae	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_1066_Hemiptera_Aphididae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1090_Lepidoptera_Lepidoptera	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1132_Orthoptera_Trigonidium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
H_1161_Hymenoptera_Diapriidae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1194_Orthoptera_Conocephalus.maculatus	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
H_1204_Diptera_Megaselia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H_1208_Diptera_Cecidomyiidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
